Id,SalePrice
1461,88971.1
1462,93034.5
1463,88971.1
1464,93034.5
1465,195877.026
1466,93034.5
1467,93034.5
1468,93034.5
1469,127636.006
1470,72920.67142857143
1471,127636.006
1472,93034.5
1473,88971.1
1474,93034.5
1475,127636.006
1476,284699.606
1477,195877.026
1478,283333.952
1479,195877.026
1480,284699.606
1481,221964.00933333332
1482,195877.026
1483,93034.5
1484,127636.006
1485,127636.006
1486,127636.006
1487,221964.00933333332
1488,195877.026
1489,127636.006
1490,93034.5
1491,127636.006
1492,88971.1
1493,93034.5
1494,221964.00933333332
1495,221964.00933333332
1496,127636.006
1497,127636.006
1498,127636.006
1499,127636.006
1500,93034.5
1501,93034.5
1502,127636.006
1503,195877.026
1504,195877.026
1505,127636.006
1506,93034.5
1507,141380.41373174606
1508,93034.5
1509,93034.5
1510,88971.1
1511,88971.1
1512,88971.1
1513,93034.5
1514,88971.1
1515,134326.80209841274
1516,93034.5
1517,93034.5
1518,88971.1
1519,127636.006
1520,88971.1
1521,88971.1
1522,93034.5
1523,72920.67142857143
1524,88971.1
1525,88971.1
1526,88971.1
1527,72920.67142857143
1528,93034.5
1529,88971.1
1530,93034.5
1531,72920.67142857143
1532,88971.1
1533,88971.1
1534,93034.5
1535,88971.1
1536,88971.1
1537,68041.2
1538,195877.026
1539,221964.00933333332
1540,134326.80209841274
1541,93034.5
1542,88971.1
1543,156199.48828571424
1544,72920.67142857143
1545,93034.5
1546,93034.5
1547,88971.1
1548,93034.5
1549,88971.1
1550,88971.1
1551,93034.5
1552,86878.83809523808
1553,93034.5
1554,93034.5
1555,88971.1
1556,88971.1
1557,88971.1
1558,93034.5
1559,72920.67142857143
1560,88971.1
1561,72920.67142857143
1562,88971.1
1563,88971.1
1564,88971.1
1565,88971.1
1566,127636.006
1567,72920.67142857143
1568,129619.34314285712
1569,68931.5
1570,93034.5
1571,72920.67142857143
1572,88971.1
1573,127636.006
1574,88971.1
1575,127636.006
1576,93169.6
1577,127636.006
1578,93034.5
1579,88971.1
1580,127636.006
1581,88971.1
1582,88971.1
1583,201084.978
1584,156199.48828571424
1585,93034.5
1586,51305.9
1587,88971.1
1588,88971.1
1589,72920.67142857143
1590,93034.5
1591,72920.67142857143
1592,88971.1
1593,93034.5
1594,84357.22683333333
1595,88971.1
1596,156199.48828571424
1597,134326.80209841274
1598,127636.006
1599,195877.026
1600,195877.026
1601,68041.2
1602,93034.5
1603,72920.67142857143
1604,195877.026
1605,198448.426
1606,93034.5
1607,141380.41373174606
1608,127636.006
1609,127636.006
1610,88971.1
1611,88971.1
1612,88971.1
1613,88971.1
1614,88971.1
